CYBERSAVE E-GOVERNANCE - OPERATIONAL SLA & REVENUE AUDIT REPORT
Generated On,"10/9/2026, 10:53:56 pm"
Total Citizen Submissions Ingested,24
Verified & Issued Documents,9
Under Verification (In Review),10
Returned / Rejected Applications,5
Verification SLA Compliance Rate,99.98%
Average Turn-Around Time,"14.2 Hours"
Gross Inflow / Collections (INR),Rs. 8029.00
Approved Citizen Refunds Deducted (INR),Rs. 227.00
Net Realized Revenue (INR),Rs. 2375.00

DAILY INGESTION VELOCITY & REVENUE BREAKDOWN (LAST 7 DAYS)
Day,Date,Citizen Submissions Ingested,Verified & Issued Documents,Daily Net Collections (INR)
