Transaction Ref,Citizen Applicant,Service Scheme,Gross Amount (INR),Platform Fee (INR),Net Realized (INR),Payment Status,Settlement Date
"TXN-APP6AA2E3DB","Citizen User","Government Service","59","₹0.00","59","SUCCESS","2026-09-10T17:07:39.226Z"
"TXN-APP6AA2E3C8","Citizen User","Government Service","59","₹0.00","59","SUCCESS","2026-09-10T17:07:19.891Z"
"TXN-APP6AA2E3C7","Citizen User","Government Service","59","₹0.00","59","SUCCESS","2026-09-10T17:07:19.833Z"
"TXN-APP6AA2E3C7","Citizen User","Government Service","59","₹0.00","59","SUCCESS","2026-09-10T17:07:19.778Z"
"TXN-APP6AA2DCC7","Citizen User","Government Service","295","₹0.00","295","SUCCESS","2026-09-10T16:37:27.900Z"
"pay_test_trade_02","Citizen User","Government Service","120","₹0.00","120","SUCCESS","2026-09-10T11:25:00.318Z"
"pay_test_kisan_01","Citizen User","Government Service","50","₹0.00","50","SUCCESS","2026-09-10T11:24:52.527Z"
"TXN-APP6AA28BE0","Citizen User","Government Service","65","₹0.00","65","SUCCESS","2026-09-10T10:52:16.681Z"
"TXN-APP6AA28804","Citizen User","Government Service","30","₹0.00","30","SUCCESS","2026-09-10T10:35:48.058Z"
"pay_10Sep2026_Live","Citizen User","Government Service","236","₹0.00","236","SUCCESS","2026-09-10T10:30:00.000Z"
"TXN-APP6AA25E61","Citizen User","Government Service","50","₹0.00","50","SUCCESS","2026-09-10T07:38:09.700Z"
"TXN-APP6AA169D9","Citizen User","Government Service","59","₹0.00","59","SUCCESS","2026-09-09T14:14:49.061Z"
"TXN-APP6AA152F1","Citizen User","Government Service","227","₹0.00","227","SUCCESS","2026-09-09T12:37:05.688Z"
"TXN-APP6AA142AE","Citizen User","Government Service","59","₹0.00","59","SUCCESS","2026-09-09T11:27:42.270Z"
"TXN-APP6A9E99A0","Citizen User","Government Service","236","₹0.00","236","SUCCESS","2026-09-07T11:01:52.013Z"
"TXN-APP6A9E78B2","Citizen User","Government Service","227","₹0.00","227","REFUNDED","2026-09-07T08:41:22.508Z"
"TXN-APP6A99198C","Citizen User","Government Service","236","₹0.00","236","SUCCESS","2026-09-03T06:54:04.483Z"
"TXN-APP6A8EE5AA","Citizen User","Government Service","146","₹0.00","146","SUCCESS","2026-08-26T13:10:02.045Z"
"TXN-APP6A8EE294","Citizen User","Government Service","55","₹0.00","55","SUCCESS","2026-08-26T12:56:52.381Z"
"TXN-APP6A871D3E","Citizen User","Government Service","55","₹0.00","55","SUCCESS","2026-08-20T15:29:02.747Z"
"TXN-APP6A86D8DD","Citizen User","Government Service","55","₹0.00","55","SUCCESS","2026-08-20T10:37:17.055Z"
"TXN-APP6A86B4C0","Citizen User","Government Service","55","₹0.00","55","SUCCESS","2026-08-20T08:03:12.697Z"
"TXN-APP6A85680F","Citizen User","Government Service","55","₹0.00","55","SUCCESS","2026-08-19T08:23:43.761Z"
"TXN-APP6A849C0D","Citizen User","Government Service","55","₹0.00","55","SUCCESS","2026-08-18T17:53:17.736Z"
